,experiment,secondary_initpts,mean_loss,indicator_loss
0,a3b6,5.0,1.08,0.0
1,a3b6,10.0,1.03,1.0
2,a3b6,15.0,1.06,1.0
3,a3b6,20.0,0.94,1.0
4,a3b6,25.0,0.74,1.0
5,a3b6,30.0,0.91,1.0
6,a3b6,35.0,0.81,1.0
7,a3b6,40.0,0.85,1.0
8,a3b6,45.0,0.99,1.0
9,a3b6,50.0,0.85,1.0
0,a3c1,5.0,1.26,0.0
1,a3c1,10.0,1.01,1.0
2,a3c1,15.0,0.89,1.0
3,a3c1,20.0,0.94,1.0
4,a3c1,25.0,0.97,1.0
5,a3c1,30.0,1.11,1.0
6,a3c1,35.0,1.03,1.0
7,a3c1,40.0,1.0,1.0
8,a3c1,45.0,0.96,1.0
9,a3c1,50.0,1.21,0.0
0,a3c2,5.0,1.01,1.0
1,a3c2,10.0,0.85,1.0
2,a3c2,15.0,0.78,1.0
3,a3c2,20.0,0.67,1.0
4,a3c2,25.0,1.24,0.0
5,a3c2,30.0,0.69,1.0
6,a3c2,35.0,0.66,1.0
7,a3c2,40.0,0.41,1.0
8,a3c2,45.0,0.31,1.0
9,a3c2,50.0,0.45,1.0
0,a3b7,5.0,1.05,1.0
1,a3b7,10.0,0.83,1.0
2,a3b7,15.0,0.89,1.0
3,a3b7,20.0,0.81,1.0
4,a3b7,25.0,1.12,0.0
5,a3b7,30.0,0.85,1.0
6,a3b7,35.0,0.91,1.0
7,a3b7,40.0,1.2,0.0
8,a3b7,45.0,1.08,1.0
9,a3b7,50.0,1.1,1.0
0,a3c3,5.0,1.34,0.0
1,a3c3,10.0,1.09,1.0
2,a3c3,15.0,0.95,1.0
3,a3c3,20.0,0.91,1.0
4,a3c3,25.0,1.32,0.0
5,a3c3,30.0,0.98,1.0
6,a3c3,35.0,0.96,1.0
7,a3c3,40.0,1.01,0.0
8,a3c3,45.0,1.15,1.0
9,a3c3,50.0,1.11,1.0
0,a3c4,5.0,1.24,0.0
1,a3c4,10.0,1.4,0.0
2,a3c4,15.0,1.0,1.0
3,a3c4,20.0,0.89,1.0
4,a3c4,25.0,0.97,1.0
5,a3c4,30.0,0.92,1.0
6,a3c4,35.0,1.07,1.0
7,a3c4,40.0,1.17,1.0
8,a3c4,45.0,1.32,0.0
9,a3c4,50.0,1.45,0.0
0,a3b8,5.0,1.12,0.0
1,a3b8,10.0,1.05,0.0
2,a3b8,15.0,0.99,1.0
3,a3b8,20.0,0.82,1.0
4,a3b8,25.0,1.11,0.0
5,a3b8,30.0,1.1,0.0
6,a3b8,35.0,0.93,1.0
7,a3b8,40.0,0.92,1.0
8,a3b8,45.0,1.12,0.0
9,a3b8,50.0,0.81,1.0
0,a3c5,5.0,1.25,0.0
1,a3c5,10.0,0.45,1.0
2,a3c5,15.0,1.18,1.0
3,a3c5,20.0,0.92,1.0
4,a3c5,25.0,1.21,0.0
5,a3c5,30.0,1.21,1.0
6,a3c5,35.0,1.24,1.0
7,a3c5,40.0,1.17,1.0
8,a3c5,45.0,1.17,0.0
9,a3c5,50.0,1.13,1.0
0,a3c6,5.0,1.12,1.0
1,a3c6,10.0,1.51,0.0
2,a3c6,15.0,1.66,0.0
3,a3c6,20.0,1.51,0.0
4,a3c6,25.0,1.15,1.0
5,a3c6,30.0,1.71,0.0
6,a3c6,35.0,1.03,1.0
7,a3c6,40.0,1.74,0.0
8,a3c6,45.0,1.66,0.0
9,a3c6,50.0,1.32,0.0
0,a3b9,5.0,1.17,0.0
1,a3b9,10.0,1.22,0.0
2,a3b9,15.0,0.98,1.0
3,a3b9,20.0,0.91,1.0
4,a3b9,25.0,0.79,1.0
5,a3b9,30.0,0.79,1.0
6,a3b9,35.0,1.04,1.0
7,a3b9,40.0,1.05,1.0
8,a3b9,45.0,1.17,0.0
9,a3b9,50.0,0.99,1.0
0,a3c7,5.0,1.4,0.0
1,a3c7,10.0,1.35,0.0
2,a3c7,15.0,0.88,1.0
3,a3c7,20.0,1.13,0.0
4,a3c7,25.0,0.9,1.0
5,a3c7,30.0,0.68,1.0
6,a3c7,35.0,0.62,1.0
7,a3c7,40.0,1.18,1.0
8,a3c7,45.0,1.23,1.0
9,a3c7,50.0,1.29,0.0
0,a3c8,5.0,1.45,0.0
1,a3c8,10.0,1.34,0.0
2,a3c8,15.0,1.42,0.0
3,a3c8,20.0,1.21,0.0
4,a3c8,25.0,1.33,0.0
5,a3c8,30.0,1.41,0.0
6,a3c8,35.0,1.64,0.0
7,a3c8,40.0,1.87,0.0
8,a3c8,45.0,2.0,0.0
9,a3c8,50.0,2.14,0.0
0,b3b1,10.0,1.25,1.0
1,b3b1,20.0,1.13,0.0
2,b3b1,30.0,1.32,0.0
3,b3b1,40.0,1.15,0.0
4,b3b1,50.0,0.99,1.0
5,b3b1,60.0,1.0,1.0
6,b3b1,70.0,1.07,1.0
7,b3b1,80.0,1.01,1.0
8,b3b1,90.0,1.05,0.0
9,b3b1,100.0,0.88,1.0
10,b3b1,110.0,0.92,1.0
11,b3b1,120.0,0.96,1.0
12,b3b1,130.0,1.06,1.0
13,b3b1,140.0,0.89,1.0
14,b3b1,150.0,0.96,1.0
15,b3b1,160.0,1.12,1.0
16,b3b1,170.0,1.31,0.0
17,b3b1,180.0,1.35,0.0
18,b3b1,190.0,1.35,0.0
19,b3b1,200.0,1.35,0.0
0,b3c1,10.0,1.14,0.0
1,b3c1,20.0,1.21,0.0
2,b3c1,30.0,1.13,0.0
3,b3c1,40.0,1.02,1.0
4,b3c1,50.0,0.99,1.0
5,b3c1,60.0,0.74,1.0
6,b3c1,70.0,0.83,1.0
7,b3c1,80.0,0.81,1.0
8,b3c1,90.0,0.98,1.0
9,b3c1,100.0,0.73,1.0
10,b3c1,110.0,0.65,1.0
11,b3c1,120.0,0.91,1.0
12,b3c1,130.0,0.69,1.0
13,b3c1,140.0,0.81,1.0
14,b3c1,150.0,0.73,1.0
15,b3c1,160.0,0.77,1.0
16,b3c1,170.0,0.91,1.0
17,b3c1,180.0,0.97,1.0
18,b3c1,190.0,0.98,0.0
19,b3c1,200.0,0.92,1.0
0,b3c2,10.0,1.31,0.0
1,b3c2,20.0,1.05,1.0
